Publication.year	Organism	Context	MeSH.ID	MeSH.term	Phase	Tissue	Function	Source.cell.type.class	Source.cell.type	Target.cell.type.class	Target.cell.type	Clear.direction	Reciprocal.direction	Interaction.details	Method	Method.details	Reference	Information	Full.PDF	PMID	Title
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	34858875	Ultrastructural and Functional Analysis of a Novel Extra-Axonemal Structure in Parasitic Trichomonads
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	34846303	A novel live-cell imaging assay reveals regulation of endosome maturation
2021	human	trogocytosis	G04|G12	Cell Physiological Phenomena|Immune System Phenomena	NA	NA	NA	antigen-presenting cell	antigen-presenting cell	T cell	T cell	0	0	NA	not sure	NA	34831198	1	1	34831198	Trogocytosis in Unicellular Eukaryotes
2021	human	angiogenesis	C23|G09	Pathological Conditions, Signs and Symptoms|Circulatory and Respiratory Physiological Phenomena	NA	NA	surface marker- and CD47-dependent changes in gene expression in the target cells	T cell	CD47-deficient Jurkat T cell	endothelial cell	umbilical vein endothelial cell	1	0	extracellular vesicles	experimental	NA	34829933	1	1	34829933	CD63(+) and MHC Class I(+) Subsets of Extracellular Vesicles Produced by Wild-Type and CD47-Deficient Jurkat T Cells Have Divergent Functional Effects on Endothelial Cell Gene Expression
2021	human	testis	A05|A06	Urogenital System|Endocrine System	NA	juvenile testis	NA	germ cell	germ cell	somatic cell	somatic cell	0	0	immune-related pathways	computational	NA	34808557	1	1	34808557	Single-cell transcriptome analysis of Bisphenol A exposure reveals the key roles of the testicular microenvironment in male reproduction
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	34768768	伪-Galactosidase a Deficiency in Fabry Disease Leads to Extensive Dysregulated Cellular Signaling Pathways in Human Podocytes
2021	human	palate	A14	Stomatognathic System	NA	NA	affect palate formation	epithelial cell	epithelial cell	mesenchymal cell	mesenchymal cell	0	0	exosomes	experimental	in vitro	28727410	1	1	34734037	Exosomes-a potential indicator and mediator of cleft lip and palate: a narrative review
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	34715746	Comparison of Fixation Methods for the Detection of Claudin 1 and E-Cadherin in Breast Cancer Cell Lines by Immunofluorescence
2021	human	cardiac tissue	A07	Cardiovascular System	NA	specification of human pluripotent stem cells 	improved efficiency of CM formation	cardiomyocyte	hPSC-derived cardiomyocyte	stem cell	pluripotent stem cell	1	0	exosomes	experimental	NA	34685602	1	1	34685602	Proteomic Analysis of Exosomes during Cardiogenic Differentiation of Human Pluripotent Stem Cells
2021	human	aging	G07	Physiological Phenomena	NA	NA	decelerate aging-related damage	stem cell	human-induced pluripotent stem cells (hiPSCs) overexpressing ALIX	fibroblast	skin fibroblast	1	0	exosomes	experimental	in vitro	29890746	1	1	34685602	Proteomic Analysis of Exosomes during Cardiogenic Differentiation of Human Pluripotent Stem Cells
2021	human	angiogenesis	C23|G09	Pathological Conditions, Signs and Symptoms|Circulatory and Respiratory Physiological Phenomena	NA	NA	influence NF-kappaB signaling that promotes angiogenesis	stem cell	mesenchymal stem cell	endothelial cell	umbilical vein endothelial cell	1	0	exosomes	experimental	proteomic analysis	26782178	1	1	34685602	Proteomic Analysis of Exosomes during Cardiogenic Differentiation of Human Pluripotent Stem Cells
2021	human	cardiac tissue	A07	Cardiovascular System	NA	cardiac cell function and disease	induces an increase in ATP and NADH levels	stem cell	mesenchymal stem cell	cardiomyocyte	ischemic myocardial cell	1	0	exosomes	experimental	Langendorff experiments	23399448	1	1	34685602	Proteomic Analysis of Exosomes during Cardiogenic Differentiation of Human Pluripotent Stem Cells
2021	human	cardiac tissue	A07	Cardiovascular System	NA	NA	upregulate the renin-angiotensin system	fibroblast	cardiac fibroblast	cardiomyocyte	cardiomyocyte	1	0	exosomes	experimental	in vitro	26497614	1	1	34685602	Proteomic Analysis of Exosomes during Cardiogenic Differentiation of Human Pluripotent Stem Cells
2021	human	myeloid cells	A11	Cells	NA	NA	induce the differentiation of human monocytic THP-1 cells into macrophages	macrophage	macrophage	monocyte	monocytic THP-1 cell	1	0	extracellular vesicles	experimental	microvesicle transfer experiments	23144169	1	1	34638604	The Role of Extracellular Vesicles from Human Macrophages on Host-Pathogen Interaction
2021	human	immune response	G12	Immune System Phenomena	NA	NA	elicit a more robust antigen specific cytotoxic T cell response	macrophage	pro-inflammatory macrophage	macrophage	macrophage	1	0	extracellular vesicles	not sure	NA	34638604	1	1	34638604	The Role of Extracellular Vesicles from Human Macrophages on Host-Pathogen Interaction
2021	human	immune response	G12	Immune System Phenomena	NA	NA	elicit a more robust antigen specific cytotoxic T cell response	macrophage	pro-inflammatory macrophage	dendritic cell	dendritic cell	1	0	extracellular vesicles	not sure	NA	34638604	1	1	34638604	The Role of Extracellular Vesicles from Human Macrophages on Host-Pathogen Interaction
2021	human	immune response	G12	Immune System Phenomena	NA	NA	enhanced the secretion of the anti-inflammatory cytokines IL-4 and IL-10	macrophage	anti-inflammatory macrophage	macrophage	macrophage	1	0	extracellular vesicles	experimental	LCP-based vaccine	28284981	1	1	34638604	The Role of Extracellular Vesicles from Human Macrophages on Host-Pathogen Interaction
2021	human	immune response	G12	Immune System Phenomena	NA	NA	enhanced the secretion of the anti-inflammatory cytokines IL-4 and IL-10	macrophage	anti-inflammatory macrophage	dendritic cell	dendritic cell	1	0	extracellular vesicles	experimental	LCP-based vaccine	28284981	1	1	34638604	The Role of Extracellular Vesicles from Human Macrophages on Host-Pathogen Interaction
2021	human	central nervous system	A08	Nervous System	NA	NA	promoted further maturation of neurons	glial cell	glial cell	neuron	neuronal cell	1	0	NA	experimental	co-culture	34638524	1	1	34638524	Complex Organ Construction from Human Pluripotent Stem Cells for Biological Research and Disease Modeling with New Emerging Techniques
2021	human	schizophrenia	F03	Mental Disorders	NA	NA	synapse deficits	neuron	iPSC-derived neuron	astrocyte	astrocyte	0	0	NA	experimental	co-culture	34638524	1	1	34638524	Complex Organ Construction from Human Pluripotent Stem Cells for Biological Research and Disease Modeling with New Emerging Techniques
2021	human	diabetes mellitus, type 1	C18|C19|C20	Nutritional and Metabolic Diseases|Endocrine System Diseases|Immune System Diseases	NA	NA	T cell activation	beta cell	iPSC-derived beta cell	T cell	T cell	1	0	NA	experimental	co-culture	34638524	1	1	34638524	Complex Organ Construction from Human Pluripotent Stem Cells for Biological Research and Disease Modeling with New Emerging Techniques
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	34623464	[Model systems in gastroenterological research : From animal models to human organoids to the clinic]
2021	human	influenza, human	C01|C08	Infections|Respiratory Tract Diseases	NA	NA	NA	granulocyte	neutrophil	macrophage	macrophage	1	0	NA	computational	CellPhoneDB	34618691	1	1	34618691	Human nasal wash RNA-Seq reveals distinct cell-specific innate immune responses in influenza versus SARS-CoV-2
2021	human	influenza, human	C01|C08	Infections|Respiratory Tract Diseases	NA	NA	NA	macrophage	macrophage	T cell	T cell	1	0	NA	computational	CellPhoneDB	34618691	1	1	34618691	Human nasal wash RNA-Seq reveals distinct cell-specific innate immune responses in influenza versus SARS-CoV-2
2021	human	influenza, human	C01|C08	Infections|Respiratory Tract Diseases	NA	NA	NA	T cell	T cell	T cell	T cell	1	1	NA	computational	CellPhoneDB	34618691	1	1	34618691	Human nasal wash RNA-Seq reveals distinct cell-specific innate immune responses in influenza versus SARS-CoV-2
2021	human	COVID-19	C01|C08	Infections|Respiratory Tract Diseases	NA	NA	NA	macrophage	macrophage	macrophage	macrophage	1	1	IL6:IL6R	computational	CellPhoneDB	34618691	1	1	34618691	Human nasal wash RNA-Seq reveals distinct cell-specific innate immune responses in influenza versus SARS-CoV-2
2021	human	COVID-19	C01|C08	Infections|Respiratory Tract Diseases	NA	NA	NA	macrophage	macrophage	granulocyte	neutrophil	1	0	ANXA1:FPR2	computational	CellPhoneDB	34618691	1	1	34618691	Human nasal wash RNA-Seq reveals distinct cell-specific innate immune responses in influenza versus SARS-CoV-2
2021	human	COVID-19	C01|C08	Infections|Respiratory Tract Diseases	NA	NA	NA	macrophage	macrophage	granulocyte	neutrophil	1	0	ANXA1:FPR1	computational	CellPhoneDB	34618691	1	1	34618691	Human nasal wash RNA-Seq reveals distinct cell-specific innate immune responses in influenza versus SARS-CoV-2
2021	human	COVID-19	C01|C08	Infections|Respiratory Tract Diseases	NA	NA	NA	macrophage	macrophage	granulocyte	neutrophil	1	0	APP:FPR2	computational	CellPhoneDB	34618691	1	1	34618691	Human nasal wash RNA-Seq reveals distinct cell-specific innate immune responses in influenza versus SARS-CoV-2
2021	human	heart failure 	C14	Cardiovascular Diseases	NA	NA	potentially facilitate leukocyte recruitment and infiltration in human heart failure	macrophage	CXCL8hiCCR2+HLA-DRhi macrophage	endothelial cell	activated endothelial cell	1	0	CXCL8:ACKR1	experimental	NA	34601654	1	1	34601654	Resolving the intertwining of inflammation and fibrosis in human heart failure at single-cell level
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	34597714	Molecular fMRI of neurochemical signaling
2021	human	non-alcoholic fatty liver disease	C06	Digestive System Diseases	NA	NA	NA	Kupffer cell	Kupffer cell	ito cell (hepatic stellate cell)	activated hepatic stellate cell	1	0	PDGFC:PDGFRA	computational	CellPhoneDB	34588551	1	1	34588551	Single-cell and bulk transcriptomics of the liver reveals potential targets of NASH with fibrosis
2021	human	non-alcoholic fatty liver disease	C06	Digestive System Diseases	NA	NA	NA	Kupffer cell	Kupffer cell	ito cell (hepatic stellate cell)	activated hepatic stellate cell	1	0	progranulin	computational	CellPhoneDB	34588551	1	1	34588551	Single-cell and bulk transcriptomics of the liver reveals potential targets of NASH with fibrosis
2021	human	non-alcoholic fatty liver disease	C06	Digestive System Diseases	NA	NA	NA	macrophage	monocyte-derived macrophage	ito cell (hepatic stellate cell)	activated hepatic stellate cell	1	0	AREG:EGFR	computational	CellPhoneDB	34588551	1	1	34588551	Single-cell and bulk transcriptomics of the liver reveals potential targets of NASH with fibrosis
2021	human	non-alcoholic fatty liver disease	C06	Digestive System Diseases	NA	NA	NA	macrophage	monocyte-derived macrophage	ito cell (hepatic stellate cell)	activated hepatic stellate cell	1	0	progranulin	computational	CellPhoneDB	34588551	1	1	34588551	Single-cell and bulk transcriptomics of the liver reveals potential targets of NASH with fibrosis
2021	human	non-alcoholic fatty liver disease	C06	Digestive System Diseases	NA	NA	NA	ito cell (hepatic stellate cell)	activated hepatic stellate cell	ito cell (hepatic stellate cell)	activated hepatic stellate cell	1	1	PDGFC:PDGFRA	computational	CellPhoneDB	34588551	1	1	34588551	Single-cell and bulk transcriptomics of the liver reveals potential targets of NASH with fibrosis
2021	human	non-alcoholic fatty liver disease	C06	Digestive System Diseases	NA	NA	NA	endothelial cell	liver sinusoidal endothelial cell	ito cell (hepatic stellate cell)	activated hepatic stellate cell	1	0	NA	computational	CellPhoneDB	34588551	1	1	34588551	Single-cell and bulk transcriptomics of the liver reveals potential targets of NASH with fibrosis
2021	human	non-alcoholic fatty liver disease	C06	Digestive System Diseases	NA	NA	NA	endothelial cell	vascular endothelial cell	ito cell (hepatic stellate cell)	activated hepatic stellate cell	1	0	NA	computational	CellPhoneDB	34588551	1	1	34588551	Single-cell and bulk transcriptomics of the liver reveals potential targets of NASH with fibrosis
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	34571891	CytokineLink: A Cytokine Communication Map to Analyse Immune Responses-Case Studies in Inflammatory Bowel Disease and COVID-19
2021	human	periodontitis	C07	Stomatognathic Diseases	NA	NA	NA	myeloid cell	myeloid cell	epithelial cell	epithelial cell	0	0	NA	computational	CellPhoneDB	34566966	1	1	34566966	Single-Cell RNA Sequencing Identifies New Inflammation-Promoting Cell Subsets in Asian Patients With Chronic Periodontitis
2021	human	periodontitis	C07	Stomatognathic Diseases	NA	NA	NA	myeloid cell	myeloid cell	endothelial cell	endothelial cell	0	0	NA	computational	CellPhoneDB	34566966	1	1	34566966	Single-Cell RNA Sequencing Identifies New Inflammation-Promoting Cell Subsets in Asian Patients With Chronic Periodontitis
2021	human	periodontitis	C07	Stomatognathic Diseases	NA	NA	NA	myeloid cell	myeloid cell	fibroblast	fibroblast	0	0	NA	computational	CellPhoneDB	34566966	1	1	34566966	Single-Cell RNA Sequencing Identifies New Inflammation-Promoting Cell Subsets in Asian Patients With Chronic Periodontitis
2021	human	periodontitis	C07	Stomatognathic Diseases	NA	NA	NA	myeloid cell	myeloid cell	T cell	T cell	0	0	NA	computational	CellPhoneDB	34566966	1	1	34566966	Single-Cell RNA Sequencing Identifies New Inflammation-Promoting Cell Subsets in Asian Patients With Chronic Periodontitis
2021	human	periodontitis	C07	Stomatognathic Diseases	NA	NA	NA	myeloid cell	myeloid cell	B cell	B cell	0	0	NA	computational	CellPhoneDB	34566966	1	1	34566966	Single-Cell RNA Sequencing Identifies New Inflammation-Promoting Cell Subsets in Asian Patients With Chronic Periodontitis
2021	human	periodontitis	C07	Stomatognathic Diseases	NA	NA	NA	myeloid cell	myeloid cell	natural killer cell	natural killer cell	0	0	NA	computational	CellPhoneDB	34566966	1	1	34566966	Single-Cell RNA Sequencing Identifies New Inflammation-Promoting Cell Subsets in Asian Patients With Chronic Periodontitis
2021	human	periodontitis	C07	Stomatognathic Diseases	NA	NA	NA	macrophage	macrophage	T cell	T cell	0	0	NA	experimental	Multicolor IHC staining	34566966	1	1	34566966	Single-Cell RNA Sequencing Identifies New Inflammation-Promoting Cell Subsets in Asian Patients With Chronic Periodontitis
2021	human	periodontitis	C07	Stomatognathic Diseases	NA	NA	NA	macrophage	macrophage	B cell	B cell	0	0	NA	experimental	Multicolor IHC staining	34566966	1	1	34566966	Single-Cell RNA Sequencing Identifies New Inflammation-Promoting Cell Subsets in Asian Patients With Chronic Periodontitis
2021	human	periodontitis	C07	Stomatognathic Diseases	NA	NA	NA	fibroblast	fibroblast	B cell	B cell	1	0	CXCL13:CXCR5	experimental	Multicolor IHC staining	34566966	1	1	34566966	Single-Cell RNA Sequencing Identifies New Inflammation-Promoting Cell Subsets in Asian Patients With Chronic Periodontitis
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	34500367	Positive feedback amplification in swarming immune cell populations
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	34490594	Extracellular Vesicle Collection from Human Stem Cells Grown in Suspension Bioreactors
2021	human	obesity 	C18|C23|E01|G07	Nutritional and Metabolic Diseases|Pathological Conditions, Signs and Symptoms|Diagnosis|Physiological Phenomena	NA	NA	 regulation of blood flow in AT	endothelial cell	vascular endothelial cell	adipocyte	adipocyte	1	0	extracellular vesicles	experimental	murine model	30293865	1	1	34456860	Adipocyte-Endothelium Crosstalk in Obesity
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	34454076	Quantitative proteomic analysis for evaluating affinity isolation of extracellular vesicles
2021	human	neoplasms	C04	Neoplasms	NA	NA	NA	cancer cell	malignant cell	immune cell	immune cell	0	0	NA	computational	scRNA-seq	34450029	1	1	34450029	Spatially organized multicellular immune hubs in human colorectal cancer
2021	human	neoplasms	C04	Neoplasms	NA	NA	NA	cancer cell	malignant cell	T cell	T cell	0	0	CXCL13 and interferon-stimulated genes	computational	scRNA-seq	34450029	1	1	34450029	Spatially organized multicellular immune hubs in human colorectal cancer
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	34445351	Ultrasensitive and Multiplexed Protein Imaging with Cleavable Fluorescent Tyramide and Antibody Stripping
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	34440172	Exosomes and Micro-RNAs in Aging Process
2021	human	diabetes mellitus	C18|C19	Nutritional and Metabolic Diseases|Endocrine System Diseases	NA	NA	NA	glial cell	Microglia	others	retinal cell	1	0	TNF:TNFRSF1A	computational	Cellchat	34434927	1	1	34434927	Single-Cell Transcriptome Profiling Reveals the Suppressive Role of Retinal Neurons in Microglia Activation Under Diabetes Mellitus
2021	human	diabetes mellitus	C18|C19	Nutritional and Metabolic Diseases|Endocrine System Diseases	NA	NA	NA	glial cell	Microglia	others	retinal cell	1	0	TNF:TNFRSF1B	computational	Cellchat	34434927	1	1	34434927	Single-Cell Transcriptome Profiling Reveals the Suppressive Role of Retinal Neurons in Microglia Activation Under Diabetes Mellitus
2021	human	diabetes mellitus	C18|C19	Nutritional and Metabolic Diseases|Endocrine System Diseases	NA	NA	amplifying neuroinflammation	glial cell	Microglia	glial cell	glial cell	1	0	inflammatory factor	not sure	NA	34434927	1	1	34434927	Single-Cell Transcriptome Profiling Reveals the Suppressive Role of Retinal Neurons in Microglia Activation Under Diabetes Mellitus
2021	human	diabetes mellitus	C18|C19	Nutritional and Metabolic Diseases|Endocrine System Diseases	NA	NA	mediates the pathogenesis of the diabetic retinopathy 	glial cell	Microglia	neuron	retinal neuron	0	0	NA	experimental	cell culture	29301251; 32393376	1	1	34434927	Single-Cell Transcriptome Profiling Reveals the Suppressive Role of Retinal Neurons in Microglia Activation Under Diabetes Mellitus
2021	human	diabetes mellitus	C18|C19	Nutritional and Metabolic Diseases|Endocrine System Diseases	NA	NA	NA	others	retinal cell	endothelial cell	endothelial cell	0	0	NA	experimental	cell culture	28715583	1	1	34434927	Single-Cell Transcriptome Profiling Reveals the Suppressive Role of Retinal Neurons in Microglia Activation Under Diabetes Mellitus
2021	human	cardiac tissue	A07	Cardiovascular System	NA	NA	regulating cardiac development and growth	endothelial cell	endothelial cell	cardiomyocyte	cardiomyocyte	1	1	NA	experimental	co-culture	34422835	1	1	34422835	HiPS-Endothelial Cells Acquire Cardiac Endothelial Phenotype in Co-culture With hiPS-Cardiomyocytes
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	34407376	Type 1 Diabetes and Associated Cardiovascular Damage: Contribution of Extracellular Vesicles in Tissue Crosstalk
2021	human	testis	A05|A06	Urogenital System|Endocrine System	NA	NA	NA	Sertoli cell	Sertoli cell	stem cell	spermatogonial stem cell	1	0	INHBB-ACVR2A/B-SMAD2	computational	CellCall, immunostaining	34331449	1	1	34331449	CellCall: integrating paired ligand-receptor and transcription factor activities for cell-cell communication
2021	human	testis	A05|A06	Urogenital System|Endocrine System	NA	NA	NA	germ cell	pachytene (germ cell)	stem cell	spermatogonial stem cell	1	0	GDF5-BMPR1B-SMAD1	computational	CellCall, immunostaining	34331449	1	1	34331449	CellCall: integrating paired ligand-receptor and transcription factor activities for cell-cell communication
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	34327532	Machine learning-assisted imaging analysis of a human epiblast model
2021	human	organogenesis	G07|G08	Physiological Phenomena|Reproductive and Urinary Physiological Phenomena	NA	NA	NA	mesenchymal cell	mesenchymal cell	epithelial cell	epithelial cell	0	0	NA	experimental	co-culture	33349527; 17322477	1	1	34225662	Chick fetal organ spheroids as a model to study development and disease
2021	human	adrenal glands	A06	Endocrine System	adrenal gland	adrenal gland	developing human fetal adrenal gland	others	adrenocortical cell	granulocyte	mast cell	1	0	KITLG:receptor	not sure	NA	34216641	1	1	34216641	Steroidogenic cell microenvironment and adrenal function in physiological and pathophysiological conditions
2021	human	adrenal glands	A06	Endocrine System	NA	NA	NA	others	adrenal steroidogenic cell	granulocyte	mast cell	0	0	NA	experimental	Immunohistochemistry	27302892	1	1	34216641	Steroidogenic cell microenvironment and adrenal function in physiological and pathophysiological conditions
2021	human	adrenal glands	A06	Endocrine System	NA	NA	NA	others	adrenal steroidogenic cell	macrophage	macrophage	0	0	NA	experimental	in vivo	15247006; 33556472	1	1	34216641	Steroidogenic cell microenvironment and adrenal function in physiological and pathophysiological conditions
2021	human	adrenal glands	A06	Endocrine System	NA	NA	NA	others	adrenal steroidogenic cell	lymphocyte	lymphocyte	0	0	NA	experimental	case report	31239965	1	1	34216641	Steroidogenic cell microenvironment and adrenal function in physiological and pathophysiological conditions
2021	human	adrenal glands	A06	Endocrine System	NA	NA	NA	others	adrenal steroidogenic cell	neuron	neuron	0	0	NA	not sure	NA	34216641	1	1	34216641	Steroidogenic cell microenvironment and adrenal function in physiological and pathophysiological conditions
2021	human	adrenal glands	A06	Endocrine System	NA	NA	NA	others	adrenocortical cell	macrophage	resident macrophage	1	0	NA	experimental	cell culture	22529212	1	1	34216641	Steroidogenic cell microenvironment and adrenal function in physiological and pathophysiological conditions
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	34130712	Microglia RAGE exacerbates the progression of neurodegeneration within the SOD1(G93A) murine model of amyotrophic lateral sclerosis in a sex-dependent manner
2021	human	femoral head	A02	Musculoskeletal System	NA	NA	NA	progenitor cell	endothelial progenitor cell	bone cell	osteoblastic lineage cell	1	0	COL2A1:ITGB1	computational	iTALK	34111027	1	1	34111027	Single-cell RNA sequencing of human femoral head in vivo
